Label,Chemistry Gate,Protein Gate,Pathway Gate
Ritonavir + Estradiol valerate (99.5%),0.07150702,0.040475413,0.09230997
Ritonavir + Methylene blue (99.5%),0.09085961,0.040475413,0.097412825
Ritonavir + Dabrafenib (99.4%),0.086075604,0.040475413,0.08581261
Ritonavir + Sorafenib (99.4%),0.08960825,0.040475413,0.09173878
Ritonavir + Estradiol acetate (99.4%),0.066595465,0.040475413,0.090575054
Ritonavir + Thimerosal (0.0%),0.08810119,0.040475413,0.117735706
Ritonavir + Lexatumumab (0.0%),0.06388377,0.042488113,0.08529385
Ritonavir + Veltuzumab (0.0%),0.06388377,0.042663395,0.096393645
Ritonavir + Indium In-111 satumomab pendetide (0.0%),0.06388377,0.0416193,0.11210769
Ritonavir + KRN-7000 (0.0%),0.11270608,0.040475413,0.109152645
